Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-07-30,34.8884,38.9128,34.6361,38.0938,8111009.5166142
2006-08-06,38.0323,38.3451,33.1283,34.0087,12196163.416247
2006-08-13,33.9445,34.8884,32.8761,33.065,10707374.34126
2006-08-20,32.9393,34.1968,32.8761,33.9445,7329592.5300505
2006-08-27,33.8198,34.2591,31.9332,32.2487,5510625.1638083
2006-09-03,32.311,33.4419,31.6195,32.3418,6401495.7685523
2006-09-10,32.688,33.63,31.116,31.4315,6642365.8797624
2006-09-17,30.6125,31.3497,29.9535,30.7083,13797244.360613
2006-09-24,31.0914,31.2373,29.9842,30.4878,9527569.9921438
2006-10-01,30.8093,31.0475,29.7391,30.8014,11581164.227385
2006-10-08,30.9279,31.2425,29.9842,31.0984,7984961.1193752
2006-10-15,31.116,32.8761,30.3998,30.5756,14679629.800588
2006-10-22,30.7909,31.3172,29.8024,30.1098,10918115.061743
2006-10-29,30.363,31.0475,29.2742,30.363,9148336.8420685
2006-11-05,30.6766,30.6766,29.124,29.4201,4979452.2560247
2006-11-12,29.5774,32.2785,29.3691,31.3365,20488858.564595
2006-11-19,31.4315,31.8084,29.7962,30.5826,8780158.5324662
2006-11-26,30.5185,31.9974,30.3296,31.2425,7347488.0794057
2006-12-03,31.3682,32.8453,31.1098,32.5009,14566080.40612
2006-12-10,32.4376,33.5061,31.5878,32.0281,5884551.6718077
2006-12-17,32.0589,32.7197,30.9904,32.0589,10786919.346874
2006-12-24,32.311,32.311,29.5449,29.6011,8385451.5646114
2006-12-31,30.0177,30.3296,29.7654,29.9842,2652947.7635288
2007-01-07,30.1731,31.7451,29.8401,30.1731,7529095.1869481
2007-01-14,29.4824,30.6125,28.9781,29.9535,12451477.426498
2007-01-21,30.1731,30.8656,29.3243,29.7347,13707099.727229
2007-01-28,30.7399,30.8656,29.0423,29.3568,8848969.6225624
2007-02-04,29.5449,30.0466,28.79,29.6705,6889709.1155977
2007-02-11,29.5449,30.5185,29.2936,29.8595,8964748.4212398
2007-02-18,29.7452,30.1415,28.7593,29.174,5250477.9326919
2007-02-25,29.4824,30.0914,28.4439,29.8656,5546225.0731838
2007-03-04,30.1169,30.1731,25.7419,26.9052,15663342.173978
2007-03-11,26.4026,28.9465,25.5906,28.5071,12327152.009337
2007-03-18,28.8972,28.9175,26.6521,28.1609,9929222.3678024
2007-03-25,28.2813,28.5765,27.3762,28.5765,9458524.467506
2007-04-01,28.602,30.5756,28.5818,30.1731,14583371.660613
2007-04-08,29.9842,29.9842,28.8902,28.9175,6510325.7453306
2007-04-15,28.9227,31.4315,28.6644,31.116,13352300.118944
2007-04-22,31.8708,32.1854,29.5449,29.8595,12146536.127453
2007-04-29,30.1802,30.3296,28.2874,28.7593,9184522.8377981
2007-05-06,28.602,29.1986,28.602,28.7593,3742975.0635168
2007-05-13,28.9227,30.4816,28.9227,30.4816,8335238.1894635
2007-05-20,30.4816,31.1802,29.3884,29.7347,8103020.5336906
2007-05-27,29.7962,31.2425,29.7962,30.8155,7785597.3023517
2007-06-03,30.8093,31.7451,30.0466,31.7451,6664955.810109
2007-06-10,31.7451,33.7565,31.6828,33.7565,14718846.374883
2007-06-17,33.7257,34.166,32.0589,33.9138,12262963.604231
2007-06-24,33.8822,34.5421,32.5009,34.0711,10558700.73469
2007-07-01,33.9445,36.1449,33.9445,34.5746,8473619.4368369
2007-07-08,34.4481,37.8109,33.7882,36.4585,10474192.77259
2007-07-15,36.9621,37.9075,34.9815,37.4032,14282045.888456
2007-07-22,37.9998,38.4717,35.391,35.5175,16769282.572003
2007-07-29,35.3294,36.6808,34.0087,35.0149,17745760.477523
2007-08-05,35.4525,35.7996,33.4744,33.9445,8658498.3856764
2007-08-12,33.5992,34.8884,32.1854,33.3163,8005506.0066572
